subject_id,subject_name,professor,user_grade,wishlist_actions,timetable_actions,unique_users
9207,영화속으로들어간클래식음악,김상림,2,16,32,42
9155,MBTI로찾아가는나의책,박상원,2,17,30,39
9300,대중매체속바이오테크놀로지,예정용,1,18,23,39
9376,예술과친구하기,이계원,2,10,29,38
10631,데이터프로그래밍,이장호,2,5,37,37
9300,대중매체속바이오테크놀로지,예정용,2,12,27,33
9155,MBTI로찾아가는나의책,박상원,1,16,16,30
9327,배움특강,학생취업처,2,11,21,29
10857,캡스턴디자인1,홍연찬,4,12,21,29
9300,대중매체속바이오테크놀로지,예정용,4,8,25,28
10823,복소함수및벡터,구경헌,2,12,23,28
9045,(HUSS국립부경대)과거사청산과포용의문화,미배정,1,23,9,27
9199,심리학의이해,서신화,2,12,16,27
10933,공학수학 1,김영진,2,6,26,26
9206,영화속바이러스의이해,예정용,2,14,13,25
9201,심리학의이해,서신화,2,9,16,24
9795,유기화학(1),박경민,2,4,24,24
10281,기초기능해부학,전경규,2,3,23,24
10633,자료구조,안재균,2,7,20,24
10635,Java언어,허혜선,2,2,24,24
10836,전자기학,서정현,2,10,19,24
10859,고체전자소자,김태훈,4,6,22,24
9155,MBTI로찾아가는나의책,박상원,3,8,18,23
9207,영화속으로들어간클래식음악,김상림,3,6,18,23
10286,스포츠사회학,임새미,2,1,22,23
10552,마이크로컨트롤러구조,황광일,2,4,23,23
10554,통신기초,김현범,2,4,23,23
9207,영화속으로들어간클래식음악,김상림,1,10,17,22
9258,K컬처와한국사상,교육혁신본부,2,7,16,22
9374,영화로배우는독성학개론,예정용,3,6,18,22
9794,물리화학,양기석,2,5,21,22
10551,데이터구조,강석훈,2,4,22,22
10584,리눅스기초및프로그래밍,김영필,2,5,19,22
10824,스마트시스템입문,김영현,2,9,18,22
10875,전자기학(1),이우찬,2,6,21,22
10939,공업열역학1,김상문,2,6,20,22
9200,심리학의이해,박준성,2,11,13,21
9300,대중매체속바이오테크놀로지,예정용,3,5,19,21
10638,디지털공학,김우일,2,5,19,21
10778,확정적경영과학,이종헌,2,4,19,21
10779,데이터베이스,이세린,2,5,18,21
11017,국제무역론,이윤,2,7,17,21
9198,심리학의이해,박준성,2,10,12,20
9206,영화속바이러스의이해,예정용,1,11,11,20
9207,영화속으로들어간클래식음악,김상림,4,8,16,20
9325,미생물학입문,교육혁신본부,2,2,19,20
9355,스토리텔링뮤직,김규,2,9,13,20
9375,영화예술과문화생활,박근수,2,8,14,20
9684,민사소송법(1),김호,3,10,16,20
10553,데이터사이언스기초,강우철,2,3,20,20
10583,회로이론,전현채,2,5,17,20
10634,자료구조,안재균,2,3,19,20
10641,시뮬레이션 기초 및 실습,김지범,2,5,19,20
10708,화학공학양론,김종우,2,3,20,20
10774,확률및통계(1),류도현,2,5,18,20
10851,신호및시스템,변상원,3,10,16,20
10852,신호및시스템,변상원,3,12,14,20
10877,회로이론(1),정영식,2,7,18,20
10943,기계재료,이태선,2,3,20,20
12151,모두의인공지능,OCU,2,2,20,20
9302,동물과인간사회,이종구,1,12,9,19
9376,예술과친구하기,이계원,1,10,10,19
9383,음악과스토리텔링으로읽는글로벌KCulture,김규,2,11,14,19
9798,식품공학개론,서명지,2,4,18,19
10579,데이터베이스,우요섭,2,4,16,19
10704,공학수학 1,윤정식,2,3,19,19
10705,물리화학 1,권오중,2,2,19,19
10706,유기화학 1,김진호,2,3,19,19
10839,반도체소자,정은교,3,11,13,19
10845,전자회로,유종근,3,9,14,19
11071,화폐금융론,황상연,3,0,19,19
9154,INU전공탐구,융합자유전공대학,1,8,11,18
9246,3D모션캡쳐와관련기술의적용,교육혁신본부,2,3,16,18
9796,미생물공학,이동택,2,4,18,18
10287,운동생리학,이세원,2,4,15,18
10776,인간공학,최서빈,2,3,17,18
10936,고체역학1,박동삼,2,6,15,18
10945,전기전자공학개론,김태우,2,3,18,18
9108,커리어로드맵,취업경력개발원,4,1,16,17
9199,심리학의이해,서신화,1,7,11,17
9199,심리학의이해,서신화,3,8,10,17
9201,심리학의이해,서신화,3,7,11,17
9288,기업가정신,창업지원단,3,3,16,17
9319,물류의이해,김우중,2,10,11,17
9434,한국전근대사의이해,신유아,2,6,12,17
9436,한반도와유라시아,조형진,2,6,12,17
9745,거시경제론,김부용,2,1,17,17
10711,반응공학,노윤호,3,2,17,17
10800,회로이론,김태훈,2,8,13,17
10838,프로그래밍언어,최욱,2,5,14,17
10840,반도체소자,정은교,3,10,12,17
10853,인공지능,조환호,3,9,13,17
10861,제어공학,유세선,4,8,12,17
10868,공학수학(1),안덕주,2,5,15,17
11025,물류개론,안영효,2,8,14,17
11215,서양복식사,장인우,2,0,17,17
9116,핵심취업전략특강,취업경력개발원,4,7,11,16
9155,MBTI로찾아가는나의책,박상원,4,9,9,16
9194,서양의역사와문화,안창모,2,8,10,16
9201,심리학의이해,서신화,1,7,13,16
9275,결혼과가족,류민영,2,8,8,16
9288,기업가정신,창업지원단,1,7,11,16
9317,문화예술로배우는생명의기원,예정용,2,10,10,16
9331,사고력향상법,박동명,2,8,11,16
9366,역사초보자를위한한국사엿보기,교육혁신본부,2,4,14,16
9376,예술과친구하기,이계원,3,2,14,16
9685,형사소송법,정배근,3,7,13,16
10591,통신공학이론,이병주,3,4,14,16
10651,운영체제,한재현,3,7,13,16
10830,디지털실험,이경순,2,7,13,16
10850,전자회로실험,이병진,3,6,12,16
10854,인공지능,조환호,3,11,7,16
10858,캡스턴디자인1,홍연찬,4,9,9,16
10869,공학수학(1),안덕주,2,7,14,16
10889,전력전자공학,최현규,3,2,15,16
11021,금융경제학,김준식,2,6,14,16
11219,패션드로잉과도식화,박은경,2,0,16,16
12150,마음을읽어주는미술치료,OCU,3,3,13,16
9089,INU 리더십특강,취업경력개발원,4,7,8,15
9175,기초스페인어,문성주,2,6,12,15
9202,심리학의이해,서신화,2,7,8,15
9208,위대한개츠비와그의친구들,남정현,2,6,10,15
9246,3D모션캡쳐와관련기술의적용,교육혁신본부,1,6,13,15
9284,교과서에서만나지못한조선의역사,교육혁신본부,2,2,13,15
9302,동물과인간사회,이종구,2,8,8,15
9327,배움특강,학생취업처,4,7,11,15
9341,생활속의경제원리,오경희,2,8,10,15
9374,영화로배우는독성학개론,예정용,1,6,10,15
9746,국제무역론,한도숙,2,1,15,15
10282,웨이트트레이닝기초,김연휘,2,1,14,15
10297,Sport Management,홍진배,3,6,13,15
10642,정보보호개론,민병준,2,4,13,15
10644,기계학습,이상엽,3,6,15,15
10670,클라우드컴퓨팅,이승수,4,6,13,15
10775,인간공학,최서빈,2,6,11,15
10812,물리(1),김말진,1,6,14,15
10829,디지털실험,김영현,2,7,11,15
10881,전기에너지와이노베이션,김학만,2,6,14,15
10892,에너지발생 및 운용,김용하,3,2,15,15
11033,국제무역보험론,김규진,3,5,13,15
11058,경제사,양준호,2,3,14,15
12152,4차산업혁명기술과자동차이야기,OCU,2,0,15,15
9090,NCS의 이해,취업경력개발원,4,6,12,14
9092,공직사회의이해,미배정,4,6,10,14
9200,심리학의이해,박준성,1,8,7,14
9200,심리학의이해,박준성,3,8,8,14
9206,영화속바이러스의이해,예정용,3,7,10,14
9226,차라투스트라춤추는별이되어라,송대현,2,6,9,14
9288,기업가정신,창업지원단,2,4,10,14
9325,미생물학입문,교육혁신본부,3,2,13,14
9337,삶과천문학,김민수,1,10,6,14
9345,성격과인간심리의이해,서신화,2,9,7,14
9356,스토리텔링뮤직,김규,2,8,7,14
9374,영화로배우는독성학개론,예정용,2,5,10,14
9375,영화예술과문화생활,박근수,3,6,11,14
9379,우리가살고있는신비한지구,최윤성,2,5,10,14
10288,운동생리학,이세원,2,1,14,14
10464,원가회계,최평국,2,2,14,14
10517,전략경영,박현준,3,6,11,14
10594,데이터통신,이기영,3,4,12,14
10654,데이터통신,최승식,3,4,13,14
10682,재료역학,한유성,2,1,14,14
10683,전기회로,조영욱,2,1,14,14
10709,화학공학입문,노윤호,2,2,13,14
10799,회로이론,박창주,2,5,11,14
10835,전자기학,서정현,2,7,8,14
10840,반도체소자,정은교,4,4,10,14
10870,전기.전자기초실험,김준석,2,6,10,14
11018,국제무역론,이윤,2,4,12,14
11023,물류개론,안영효,2,3,11,14
11059,미시경제학,오태희,2,3,13,14
11882,대학영어회화1,"캘럼 맥코
트",2,1,14,14
9046,(HUSS대구대)오디세이프로젝트3전쟁과평화,미배정,1,12,3,13
9254,Introduction to Film and Media Studies,조지민,2,7,9,13
9280,경제적자유를위한투자기술,유영태,2,4,9,13
9321,물의위기와환경,이민수,2,3,11,13
9337,삶과천문학,김민수,2,6,7,13
9339,생활법률,이윤희,2,9,5,13
9345,성격과인간심리의이해,서신화,3,6,9,13
9380,우리가살고있는신비한지구,최윤성,2,4,10,13
9683,민사소송법(1),김호,3,6,9,13
9688,국제투자법,장석영,3,6,10,13
10380,GUI디자인,이운형,2,3,12,13
10499,MIS개론,김태훈,4,5,11,13
10521,광고론,윤태웅,3,3,12,13
10577,ICT공학수학,이종길,2,2,11,13
10681,공업수학(2),윤종윤,2,1,13,13
10752,에너지재료공학개론,이미경,2,1,12,13
10777,확정적경영과학,이종헌,2,5,10,13
10781,제품개발프로세스,박기정,3,5,10,13
10783,품질공학,정영배,3,6,10,13
10816,선형대수학,변윤식,1,7,8,13
10819,소프트웨어입문,김교선,1,6,9,13
10873,전기.전자기초실험,김용하,2,6,8,13
10876,회로이론(1),정영식,2,4,9,13
10896,무선에너지변환,안덕주,4,3,11,13
10940,공업열역학1,김상문,2,4,11,13
10958,기계진동,남동호,3,2,12,13
10966,MEMS개론,김경태,4,3,12,13
11277,현대물리학(1),박승룡,2,1,13,13
12151,모두의인공지능,OCU,3,3,11,13
9104,창업마케팅AtoZ,최병조,4,5,7,12
9192,사회과학고전읽기,조형진,2,7,7,12
9201,심리학의이해,서신화,4,5,9,12
9206,영화속바이러스의이해,예정용,4,7,6,12
9258,K컬처와한국사상,교육혁신본부,3,2,10,12
9258,K컬처와한국사상,교육혁신본부,4,6,8,12
9302,동물과인간사회,이종구,3,6,8,12
9356,스토리텔링뮤직,김규,1,7,6,12
9367,연극예술과문화생활,박근수,3,4,8,12
10012,수문학,미배정,3,0,12,12
10043,도시계획론,최승준,2,1,11,12
10381,그래픽디자인,김시연,2,4,10,12
10465,중급회계(1),김광태,2,3,10,12
10486,경영학원론,박현준,1,3,9,12
10499,MIS개론,김태훈,2,4,11,12
10555,운영체제,강석훈,3,3,11,12
10575,ICT공학수학,김경원,2,4,8,12
10639,디지털공학,김우일,2,2,10,12
10640,시뮬레이션 기초 및 실습,김지범,2,1,12,12
10646,데이터베이스,박기석,3,5,11,12
10648,데이터베이스,이상엽,3,5,8,12
10710,공정설계및제어,김종우,3,2,11,12
10714,열전달,이재훈,3,2,12,12
10753,전자재료공학개론,김다빈,2,1,11,12
10755,현대물리학,이한보람,2,1,11,12
10821,복소함수및벡터,구경헌,2,8,6,12
10826,스마트시스템입문,조정완,2,6,9,12
10833,전자기학,전석희,2,5,7,12
10843,전자회로,유종근,3,6,8,12
10849,전자회로실험,이병진,3,6,9,12
10862,제어공학,유세선,4,7,5,12
10888,전기물성론,김준동,3,1,12,12
10954,기계공작법,이태선,3,4,10,12
10961,유체역학(2),한민섭,3,3,12,12
10995,가계재무상담,곽민주,3,5,11,12
11016,e-biz개론,유병국,2,4,11,12
11022,금융경제학,김준식,2,5,8,12
11030,국제거래규범,김규진,3,6,9,12
11033,국제무역보험론,김규진,4,4,11,12
11036,서비스마케팅론,이루리,3,2,11,12
11216,2D패턴디자인,미배정,2,0,12,12
11244,물리화학(1),이창민,2,1,12,12
11245,분석화학(1),김규원,2,0,12,12
11248,유기화학(1),김진호,2,0,12,12
11878,대학영어회화1,매튜,2,2,12,12
11935,대학영어회화1,"브렌트 맥
납",2,1,12,12
9091,NCS의 이해,취업경력개발원,4,4,8,11
9093,공직사회의이해,미배정,4,7,6,11
9109,패션브랜드창업의이해,창업지원단,4,3,8,11
9115,핵심취업전략특강,취업경력개발원,4,3,10,11
9174,기초스페인어,문성주,1,6,7,11
9175,기초스페인어,문성주,3,3,10,11
9183,문학과함께행복의길찾기,전미정,2,6,7,11
9226,차라투스트라춤추는별이되어라,송대현,3,5,9,11
9232,취창업진로세미나,취업경력개발원,3,4,7,11
9236,한국사의이해,박미선,2,5,7,11
9258,K컬처와한국사상,교육혁신본부,1,7,7,11
9284,교과서에서만나지못한조선의역사,교육혁신본부,3,3,10,11
9288,기업가정신,창업지원단,4,5,6,11
9358,신비로운해양생물이야기,이재성,1,7,6,11
9366,역사초보자를위한한국사엿보기,교육혁신본부,3,3,10,11
9681,형법각론,정배근,3,5,7,11
9686,국제거래법,장석영,3,9,4,11
10011,구조역학(1),이헌우,3,0,11,11
10013,철근콘크리트및설계1,이승정,3,0,11,11
10015,토질실험,박정희,3,1,10,11
10021,토질역학(2),우상인,3,0,11,11
10044,도시사회학이론,최혜민,2,1,10,11
10299,트레이닝방법론,변경호,3,3,10,11
10385,레이아웃디자인,전혜연,2,5,7,11
10462,소득세법,정유석,2,3,9,11
10500,경영과학,김서영,2,3,9,11
10556,임베디드구조,김현범,3,4,10,11
10643,정보보호개론,민병준,2,1,10,11
10651,운영체제,한재현,4,4,9,11
10652,데이터마이닝,이장호,3,5,10,11
10707,유체역학,박민범,3,2,11,11
10754,기초전기화학,명재하,2,2,10,11
10773,확률및통계(1),류도현,2,5,8,11
10810,대학수학(1),이혜경,1,5,10,11
10853,인공지능,조환호,4,6,8,11
10874,전자기학(1),이우찬,2,5,6,11
10878,기초반도체공학,MORE VIVEK MOHAN,2,3,10,11
10894,전기응용,우정민,3,2,11,11
10937,고체역학1,박형범,2,4,9,11
10941,기계재료,전태성,2,5,7,11
10977,로봇공학,김영진,4,2,10,11
10986,소비자의사결정,김종흠,1,2,10,11
10994,행동재무학,조혜진,3,6,10,11
11015,e-biz개론,황낙건,2,4,8,11
11027,국제통상론,고보민,2,1,10,11
11027,국제통상론,고보민,3,4,10,11
11029,MICE개론,정진영,3,3,11,11
11056,경제통계기초,김선진,2,2,9,11
11068,금융경제학,신현열,3,0,11,11
11130,자료목록법,황정의,2,5,10,11
11249,무기화학(1),김강우,3,1,11,11
11275,역학실험,한강희,2,1,11,11
11280,선형대수학,함남우,2,0,11,11
11346,아카데믹일본어1,신은진,2,1,11,11
11347,일본근현대사,박진한,2,1,11,11
11883,대학영어회화1,"캘럼 맥코
트",2,2,9,11
12147,운동처방실제,OCU,3,1,10,11
9103,아이디어와 창업,최병조,4,3,9,10
9154,INU전공탐구,융합자유전공대학,2,7,5,10
9185,문학욕망의윤리를말하다,최혜림,2,3,7,10
9199,심리학의이해,서신화,4,4,10,10
9204,열린사회와다문화,정선주,2,3,7,10
9205,열린사회와다문화,정선주,3,5,7,10
9208,위대한개츠비와그의친구들,남정현,3,4,8,10
9276,결혼과가족,류민영,2,6,4,10
9277,경영데이터분석,강희재,1,5,8,10
9280,경제적자유를위한투자기술,유영태,1,4,7,10
