action_date,wishlist_count,wishlist_user_count,timetable_count,timetable_user_count,total_saved_actions
2026-02-01,207,38,476,119,683
2026-02-02,2553,456,5989,1191,8542
2026-02-03,2193,383,4152,918,6345
2026-02-04,1320,294,3100,714,4420
2026-02-05,50,27,227,83,277
2026-02-06,12,6,89,29,101
2026-02-07,14,4,43,12,57
2026-02-08,6,5,26,9,32
2026-02-09,28,5,38,16,66
2026-02-10,38,8,66,29,104
2026-02-11,13,6,25,9,38
2026-02-12,2,2,17,5,19
2026-02-13,19,6,28,7,47
2026-02-14,2,1,13,5,15
2026-02-15,3,1,20,4,23
2026-02-16,1,1,10,5,11
2026-02-17,4,4,21,9,25
2026-02-18,15,5,18,5,33
2026-02-19,46,12,16,8,62
2026-02-20,33,5,11,5,44
2026-02-21,22,6,27,8,49
2026-02-22,15,4,55,16,70
2026-02-23,22,7,51,14,73
2026-02-24,19,4,41,12,60
2026-02-25,7,4,36,15,43
2026-02-26,2,2,1,1,3
2026-02-27,0,0,1,1,1
2026-02-28,0,0,5,1,5
2026-03-02,0,0,3,1,3
2026-03-03,1,1,5,3,6
2026-03-04,13,6,11,6,24
2026-03-05,0,0,8,2,8
2026-03-21,0,0,1,1,1
2026-03-23,1,1,0,0,1
2026-03-27,0,0,1,1,1
2026-04-01,7,1,5,1,12
2026-04-11,0,0,2,1,2
2026-04-12,0,0,5,1,5
2026-04-14,10,1,5,1,15
2026-04-18,0,0,6,1,6
2026-04-21,0,0,2,1,2
2026-05-10,10,1,5,1,15
2026-05-16,10,1,0,0,10
2026-06-10,3,1,7,2,10
