department,subject_count,wishlist_count,wishlist_user_count,timetable_count,timetable_user_count,combined_user_count,total_saved_actions
교양,296,2074,2074,2632,2632,4246,4706
전자공학부,49,422,422,493,493,780,915
컴퓨터공학부,72,269,269,613,613,761,882
경영학부,73,265,265,511,511,693,776
기계공학과,97,250,250,519,519,662,769
무역학부,44,235,235,497,497,638,732
전기공학과,50,142,142,407,407,475,549
디자인학부,69,197,197,337,337,443,534
정보통신공학과,64,150,150,356,356,454,506
산업경영공학과,39,151,151,312,312,397,463
스포츠과학부,69,77,77,356,356,397,433
법학부,39,138,138,255,255,337,393
경제학과,43,81,81,283,283,332,364
일선,32,113,113,223,223,289,336
에너지화학공학과,38,48,48,280,280,302,328
세무회계학과,33,49,49,228,228,250,277
임베디드시스템공학과,30,66,66,211,211,228,277
건설환경공학전공,41,34,34,228,228,246,262
물리학과,42,42,42,212,212,225,254
바이오-로봇시스템공학과,37,45,45,200,200,218,245
화학과,41,37,37,200,200,220,237
소비자학과,26,67,67,161,161,191,228
영어영문학과,37,67,67,158,158,194,225
미디어커뮤니케이션학과,33,59,59,162,162,196,221
운동건강학부,76,56,56,162,162,195,218
심화교양,11,31,31,182,182,200,213
생명공학부,30,70,70,142,142,179,212
중어중국학과,22,54,54,150,150,166,204
패션산업학과,34,31,31,170,170,183,201
환경공학전공,21,58,58,138,138,157,196
신소재공학과,29,38,38,155,155,173,193
전자공학전공,15,76,76,116,116,166,192
도시행정학과,29,28,28,160,160,173,188
생명공학전공,13,31,31,151,151,156,182
동북아국제통상전공,38,16,16,162,162,169,178
국어국문학과,61,51,51,126,126,148,177
일본지역문화학과,34,46,46,129,129,152,175
문헌정보학과,23,44,44,127,127,143,171
수학과,33,42,42,125,125,144,167
분자의생명전공,27,37,37,123,123,135,160
안전공학과,34,30,30,128,128,137,158
전자공학과,12,55,55,101,101,138,156
생명과학부,29,43,43,112,112,138,155
HUSS(타대학),18,98,98,53,53,121,151
해양학과,41,38,38,110,110,127,148
독어독문학과,35,42,42,105,105,127,147
데이터과학과,21,35,35,109,109,120,144
도시공학과,34,34,34,106,106,124,140
행정학과,27,23,23,110,110,123,133
사회복지학과,27,41,41,89,89,114,130
나노바이오공학전공,32,19,19,103,103,114,122
도시건축학부,25,41,41,77,77,100,118
건축공학전공,25,22,22,95,95,99,117
정치외교학과,21,15,15,102,102,102,117
생명과학전공,19,35,35,82,82,91,117
불어불문학과,34,32,32,84,84,103,116
수학교육과,28,25,25,89,89,103,114
창의인재개발학과,30,29,29,83,83,94,112
교직,35,16,16,93,93,97,109
도시건축학전공,32,27,27,72,72,94,99
스마트물류공학전공,15,26,26,53,53,66,79
도시환경공학부,14,35,35,30,30,52,65
조형예술학부,21,9,9,48,48,49,57
일어교육과,25,6,6,48,48,48,54
국어교육과,26,2,2,47,47,49,49
유아교육과,23,8,8,38,38,39,46
무역학부(야),10,16,16,30,30,43,46
자유전공학부,21,13,13,31,31,42,44
서양화전공,17,6,6,33,33,35,39
윤리교육과,24,1,1,35,35,35,36
반도체융합전공,9,10,10,23,23,28,33
중국학과,12,13,13,19,19,24,32
체육교육과,38,8,8,21,21,23,29
공연예술학과,50,3,3,22,22,23,25
역사교육과,26,5,5,18,18,20,23
미래자동차연계전공,6,7,7,15,15,17,22
HUSS포용사회이니셔티브학부,4,10,10,12,12,20,22
영어교육과,22,6,6,15,15,17,21
한국화전공,19,0,0,20,20,20,20
물류학전공(연계),2,9,9,11,11,17,20
인문문화예술기획연계전공,3,3,3,13,13,14,16
소셜데이터사이언스연계전공,2,5,5,8,8,11,13
군사학,2,2,2,5,5,6,7
Global,4,3,3,3,3,4,6
광전자공학전공(연계),2,1,1,5,5,5,6
&Service,4,1,1,3,3,3,4
창의적디자인연계전공,4,1,1,3,3,4,4
IBE전공,18,2,2,1,1,3,3
국제개발협력연계전공,1,1,1,2,2,2,3
환경,5,1,1,1,1,1,2
미래교육디자인연계전공,2,1,1,0,0,1,1
산경(야),5,0,0,0,0,0,0
전자(야),5,0,0,0,0,0,0
Trade,4,0,0,0,0,0,0
