schedule_id,subject_id,subject_name,professor,department,grade,subject_type,day_of_week,start_time,end_time,duration
11290,9045,(HUSS국립부경대)과거사청산과포용의문화,미배정,HUSS(타대학),1.0,전심,목,2.0,5.0,3.0
11291,9047,(HUSS서강대)인물로본포용사회의역사,미배정,HUSS(타대학),2.0,전심,금,10.0,13.0,3.0
11292,9048,(HUSS서강대)포용사회주제세미나,미배정,HUSS(타대학),2.0,전심,목,10.0,13.0,3.0
11293,9049,(HUSS국립부경대)사회복지역사,미배정,HUSS(타대학),3.0,전심,수,1.0,4.0,3.0
11294,9053,(HUSS상지대)포용사회와민주시민교육,미배정,HUSS(타대학),3.0,전심,화,1.0,7.0,6.0
11295,9054,(HUSS상지대)힌두문화이슬람문화,미배정,HUSS(타대학),3.0,전심,목,7.0,10.0,3.0
11296,9055,(HUSS서강대)건강과심리,미배정,HUSS(타대학),3.0,전심,월,10.0,13.0,3.0
11297,9056,(HUSS서강대)문화적다양성과포용적역량개발,미배정,HUSS(타대학),3.0,전심,월,10.0,13.0,3.0
11298,9057,(HUSS서강대)성격심리학의주요관점,미배정,HUSS(타대학),3.0,전심,수,10.0,13.0,3.0
11299,9058,(HUSS서강대)지리정보시스템GIS과문화역사지도,미배정,HUSS(타대학),3.0,전심,화,10.0,13.0,3.0
11300,9059,(HUSS국립부경대)디지털사회안전망영상전문가과정2,미배정,HUSS(타대학),4.0,전심,목,10.0,12.0,2.0
11301,9060,(HUSS국립부경대)지역통합과포용거버넌스,미배정,HUSS(타대학),4.0,전심,화,10.0,13.0,3.0
11302,9061,(HUSS상지대)AI와교육의변화,미배정,HUSS(타대학),4.0,전심,화,1.0,4.0,3.0
11303,9062,(HUSS서강대)유럽의신화와문화콘텐츠산업,미배정,HUSS(타대학),4.0,전심,수,1.0,2.5,1.5
11304,9062,(HUSS서강대)유럽의신화와문화콘텐츠산업,미배정,HUSS(타대학),4.0,전심,금,1.0,2.5,1.5
11305,9065,(HUSS)디지털포용과스타트업창업실무,박영은,HUSS포용사회이니셔티브학부,4.0,전심,월,7.0,13.0,6.0
