source,subject_id_a,subject_name_a,professor_a,subject_id_b,subject_name_b,professor_b,co_user_count
timetable,10552,마이크로컨트롤러구조,황광일,10554,통신기초,김현범,24
timetable,10551,데이터구조,강석훈,10552,마이크로컨트롤러구조,황광일,23
timetable,10551,데이터구조,강석훈,10554,통신기초,김현범,23
timetable,10631,데이터프로그래밍,이장호,10635,Java언어,허혜선,23
timetable,10704,공학수학 1,윤정식,10708,화학공학양론,김종우,23
timetable,9794,물리화학,양기석,9795,유기화학(1),박경민,22
timetable,10704,공학수학 1,윤정식,10705,물리화학 1,권오중,22
timetable,10704,공학수학 1,윤정식,10706,유기화학 1,김진호,22
timetable,10705,물리화학 1,권오중,10706,유기화학 1,김진호,22
timetable,10705,물리화학 1,권오중,10708,화학공학양론,김종우,22
timetable,10706,유기화학 1,김진호,10708,화학공학양론,김종우,22
timetable,10551,데이터구조,강석훈,10553,데이터사이언스기초,강우철,21
timetable,10552,마이크로컨트롤러구조,황광일,10553,데이터사이언스기초,강우철,21
timetable,10553,데이터사이언스기초,강우철,10554,통신기초,김현범,21
timetable,10631,데이터프로그래밍,이장호,10633,자료구조,안재균,21
timetable,10631,데이터프로그래밍,이장호,10641,시뮬레이션 기초 및 실습,김지범,21
timetable,9795,유기화학(1),박경민,9796,미생물공학,이동택,19
timetable,9795,유기화학(1),박경민,9798,식품공학개론,서명지,19
timetable,10631,데이터프로그래밍,이장호,10638,디지털공학,김우일,19
timetable,9794,물리화학,양기석,9796,미생물공학,이동택,18
timetable,10778,확정적경영과학,이종헌,10779,데이터베이스,이세린,18
timetable,11215,서양복식사,장인우,11219,패션드로잉과도식화,박은경,18
timetable,10631,데이터프로그래밍,이장호,10634,자료구조,안재균,17
timetable,10776,인간공학,최서빈,10778,확정적경영과학,이종헌,17
timetable,10933,공학수학 1,김영진,10943,기계재료,이태선,17
timetable,10281,기초기능해부학,전경규,10286,스포츠사회학,임새미,16
timetable,10583,회로이론,전현채,10584,리눅스기초및프로그래밍,김영필,16
timetable,10635,Java언어,허혜선,10638,디지털공학,김우일,16
timetable,10774,확률및통계(1),류도현,10778,확정적경영과학,이종헌,16
timetable,10774,확률및통계(1),류도현,10779,데이터베이스,이세린,16
timetable,9745,거시경제론,김부용,9746,국제무역론,한도숙,15
timetable,9794,물리화학,양기석,9798,식품공학개론,서명지,15
timetable,9796,미생물공학,이동택,9798,식품공학개론,서명지,15
timetable,10043,도시계획론,최승준,10044,도시사회학이론,최혜민,15
timetable,10464,원가회계,최평국,10465,중급회계(1),김광태,15
