subject_id,course_code,semester,active,subject_name,professor,department,grade,subject_type,class_method,credits,is_night,wishlist_count,wishlist_user_count,required_count,avg_wishlist_priority,timetable_count,timetable_user_count,combined_user_count,total_saved_actions,first_wishlist_at,last_wishlist_at,first_timetable_at,last_timetable_at
9300,,,True,대중매체속바이오테크놀로지,예정용,교양,,심교,ONLINE,3,False,43,43,3,3.0,94,94,121,137,2026-02-02 02:30:27.450713,2026-02-25 12:55:21.304875,2026-02-02 01:11:40.795505,2026-02-25 06:32:54.226627
9155,,,True,MBTI로찾아가는나의책,박상원,교양,,핵교,OFFLINE,3,False,50,50,2,3.0,73,73,108,123,2026-02-01 20:51:51.276768,2026-02-24 08:10:49.122019,2026-02-02 05:25:18.024422,2026-02-23 13:05:35.544575
9207,,,True,영화속으로들어간클래식음악,김상림,교양,,핵교,ONLINE,3,False,40,40,1,3.0,83,83,107,123,2026-02-01 20:30:06.594028,2026-02-13 14:28:24.156972,2026-02-02 00:16:57.655522,2026-02-07 14:23:55.687269
9376,,,True,예술과친구하기,이계원,교양,,심교,ONLINE,2,False,25,25,3,3.0,63,63,83,88,2026-02-01 20:28:46.837464,2026-02-20 08:13:35.753588,2026-02-02 06:58:20.493324,2026-02-19 12:06:16.448850
9206,,,True,영화속바이러스의이해,예정용,교양,,핵교,OFFLINE,3,False,39,39,2,3.0,40,40,71,79,2026-02-01 17:09:21.260563,2026-02-25 12:52:31.824400,2026-02-01 17:29:50.565786,2026-02-20 11:50:44.379132
9199,,,True,심리학의이해,서신화,교양,,핵교,OFFLINE,3,False,31,31,1,3.0,47,47,71,78,2026-02-01 21:33:03.897220,2026-02-04 15:22:42.800274,2026-02-02 02:50:31.369777,2026-02-25 05:43:41.868609
9201,,,True,심리학의이해,서신화,교양,,핵교,OFFLINE,3,False,28,28,3,3.0,49,49,69,77,2026-02-02 01:03:34.564252,2026-02-04 16:12:20.590189,2026-02-02 01:03:40.021696,2026-02-22 03:42:55.270142
9327,,,True,배움특강,학생취업처,교양,,심교,OFFLINE,2,False,26,26,0,3.0,40,40,58,66,2026-02-01 16:40:31.873053,2026-02-25 12:53:39.224629,2026-02-01 20:16:42.550678,2026-06-10 11:58:49.519758
9374,,,True,영화로배우는독성학개론,예정용,교양,,심교,ONLINE,3,False,19,19,2,3.0,45,45,59,64,2026-02-02 04:21:48.013837,2026-02-04 15:34:26.409600,2026-02-02 01:09:34.166211,2026-02-19 08:41:22.202450
9200,,,True,심리학의이해,박준성,교양,,핵교,OFFLINE,3,False,28,28,1,3.0,35,35,57,63,2026-02-02 06:50:11.336759,2026-02-13 05:22:42.885193,2026-02-02 04:02:58.729994,2026-02-24 11:22:44.137594
