day_of_week,start_time,end_time,subject_count,wishlist_count,wishlist_user_count,timetable_count,timetable_user_count,total_saved_actions
수,2.5,4.0,89,245.0,245.0,711.0,711.0,956.0
수,5.5,7.0,77,271.0,271.0,670.0,670.0,941.0
월,5.5,7.0,75,263.0,263.0,610.0,610.0,873.0
월,2.5,4.0,72,205.0,205.0,613.0,613.0,818.0
화,5.5,7.0,80,226.0,226.0,583.0,583.0,809.0
목,5.5,7.0,75,241.0,241.0,566.0,566.0,807.0
목,2.5,4.0,73,216.0,216.0,567.0,567.0,783.0
수,7.0,8.5,69,231.0,231.0,546.0,546.0,777.0
화,2.5,4.0,78,197.0,197.0,534.0,534.0,731.0
화,7.0,8.5,68,186.0,186.0,515.0,515.0,701.0
월,7.0,8.5,53,189.0,189.0,435.0,435.0,624.0
화,8.5,10.0,43,139.0,139.0,407.0,407.0,546.0
목,7.0,8.5,54,168.0,168.0,372.0,372.0,540.0
월,4.0,5.5,44,123.0,123.0,411.0,411.0,534.0
월,7.0,10.0,49,189.0,189.0,301.0,301.0,490.0
수,8.5,10.0,43,142.0,142.0,347.0,347.0,489.0
화,7.0,10.0,46,182.0,182.0,294.0,294.0,476.0
수,1.0,2.5,37,107.0,107.0,330.0,330.0,437.0
목,4.0,5.5,38,117.0,117.0,293.0,293.0,410.0
목,7.0,10.0,46,157.0,157.0,248.0,248.0,405.0
수,4.0,5.5,39,99.0,99.0,295.0,295.0,394.0
월,8.5,10.0,32,97.0,97.0,264.0,264.0,361.0
목,8.5,10.0,32,97.0,97.0,252.0,252.0,349.0
금,2.5,4.0,33,87.0,87.0,259.0,259.0,346.0
화,1.0,4.0,40,123.0,123.0,204.0,204.0,327.0
화,4.0,5.5,32,77.0,77.0,244.0,244.0,321.0
화,4.0,7.0,37,99.0,99.0,215.0,215.0,314.0
목,1.0,4.0,45,106.0,106.0,193.0,193.0,299.0
목,4.0,7.0,35,116.0,116.0,179.0,179.0,295.0
수,1.0,4.0,26,105.0,105.0,172.0,172.0,277.0
수,4.0,7.0,31,114.0,114.0,154.0,154.0,268.0
목,1.0,2.5,28,71.0,71.0,193.0,193.0,264.0
수,7.0,10.0,68,114.0,114.0,144.0,144.0,258.0
수,2.0,4.0,26,71.0,71.0,185.0,185.0,256.0
화,1.0,2.5,37,75.0,75.0,177.0,177.0,252.0
월,4.0,7.0,28,90.0,90.0,137.0,137.0,227.0
금,5.5,7.0,20,72.0,72.0,140.0,140.0,212.0
수,8.0,10.0,36,62.0,62.0,138.0,138.0,200.0
화,10.0,13.0,23,60.0,60.0,133.0,133.0,193.0
화,2.0,5.0,14,61.0,61.0,125.0,125.0,186.0
목,2.0,4.0,19,58.0,58.0,123.0,123.0,181.0
화,3.0,5.0,50,48.0,48.0,130.0,130.0,178.0
목,5.0,7.0,19,55.0,55.0,122.0,122.0,177.0
월,2.0,4.0,21,59.0,59.0,115.0,115.0,174.0
목,4.0,6.0,27,55.0,55.0,118.0,118.0,173.0
월,5.0,7.0,18,50.0,50.0,119.0,119.0,169.0
월,1.0,2.5,28,46.0,46.0,121.0,121.0,167.0
금,1.0,2.5,15,41.0,41.0,124.0,124.0,165.0
목,6.0,8.0,46,31.0,31.0,131.0,131.0,162.0
수,5.0,7.0,14,45.0,45.0,114.0,114.0,159.0
